,Country,Value,Year,Sex,Indicator,id
24,Lithuania,2.1,2015,Tot,EMP8,440
0,Austria,9,2016,Tot,EMP8,40
1,Belgium,9.2,2016,Tot,EMP8,56
2,Czech Republic,10.2,2016,Tot,EMP8,203
3,Denmark,12.9,2016,Tot,EMP8,208
4,France,16.3,2016,Tot,EMP8,250
5,Germany,13.2,2016,Tot,EMP8,276
6,Greece,11.2,2016,Tot,EMP8,300
7,Hungary,9.7,2016,Tot,EMP8,348
8,Iceland,11.9,2016,Tot,EMP8,352
9,Ireland,9,2016,Tot,EMP8,372
10,Italy,14,2016,Tot,EMP8,380
11,Luxembourg,9,2016,Tot,EMP8,442
12,Netherlands,20.8,2016,Tot,EMP8,528
13,Norway,8.8,2016,Tot,EMP8,578
14,Poland,27.5,2016,Tot,EMP8,616
15,Portugal,22.3,2016,Tot,EMP8,620
16,Slovak Republic,10.1,2016,Tot,EMP8,703
17,Spain,26.1,2016,Tot,EMP8,724
18,Sweden,16.7,2016,Tot,EMP8,752
19,Switzerland,13.3,2016,Tot,EMP8,756
20,United Kingdom,6,2016,Tot,EMP8,826
21,Estonia,3.7,2016,Tot,EMP8,233
22,Slovenia,17.1,2016,Tot,EMP8,705
23,Latvia,3.7,2016,Tot,EMP8,428
24,Lithuania,1.9,2016,Tot,EMP8,440
0,Austria,9.2,2017,Tot,EMP8,40
1,Belgium,10.4,2017,Tot,EMP8,56
2,Czech Republic,10,2017,Tot,EMP8,203
3,Denmark,12.3,2017,Tot,EMP8,208
4,France,16.9,2017,Tot,EMP8,250
5,Germany,12.9,2017,Tot,EMP8,276
6,Greece,11.4,2017,Tot,EMP8,300
7,Hungary,8.8,2017,Tot,EMP8,348
8,Iceland,10.7,2017,Tot,EMP8,352
9,Ireland,9.2,2017,Tot,EMP8,372
10,Italy,15.4,2017,Tot,EMP8,380
11,Luxembourg,9.1,2017,Tot,EMP8,442
12,Netherlands,21.8,2017,Tot,EMP8,528
13,Norway,8.5,2017,Tot,EMP8,578
14,Poland,26.2,2017,Tot,EMP8,616
15,Portugal,22,2017,Tot,EMP8,620
16,Slovak Republic,9.6,2017,Tot,EMP8,703
17,Spain,26.7,2017,Tot,EMP8,724
18,Sweden,16.9,2017,Tot,EMP8,752
19,Switzerland,13.4,2017,Tot,EMP8,756
20,United Kingdom,5.7,2017,Tot,EMP8,826
21,Estonia,3,2017,Tot,EMP8,233
22,Slovenia,17.9,2017,Tot,EMP8,705
23,Latvia,3,2017,Tot,EMP8,428
24,Lithuania,1.7,2017,Tot,EMP8,440
0,Austria,9.1,2018,Tot,EMP8,40
1,Belgium,10.8,2018,Tot,EMP8,56
2,Czech Republic,8.9,2018,Tot,EMP8,203
3,Denmark,10.7,2018,Tot,EMP8,208
4,France,16.7,2018,Tot,EMP8,250
5,Germany,12.6,2018,Tot,EMP8,276
6,Greece,11.3,2018,Tot,EMP8,300
7,Hungary,7.3,2018,Tot,EMP8,348
8,Iceland,9.2,2018,Tot,EMP8,352
9,Ireland,10,2018,Tot,EMP8,372
10,Italy,17,2018,Tot,EMP8,380
11,Luxembourg,9.9,2018,Tot,EMP8,442
12,Netherlands,21.5,2018,Tot,EMP8,528
13,Norway,8.4,2018,Tot,EMP8,578
14,Poland,24.4,2018,Tot,EMP8,616
15,Portugal,22,2018,Tot,EMP8,620
16,Slovak Republic,8.3,2018,Tot,EMP8,703
17,Spain,26.8,2018,Tot,EMP8,724
18,Sweden,16.8,2018,Tot,EMP8,752
19,Switzerland,13.1,2018,Tot,EMP8,756
20,United Kingdom,5.6,2018,Tot,EMP8,826
21,Estonia,3.5,2018,Tot,EMP8,233
22,Slovenia,15.9,2018,Tot,EMP8,705
23,Latvia,2.7,2018,Tot,EMP8,428
24,Lithuania,1.6,2018,Tot,EMP8,440
0,Austria,8.7,2019,Tot,EMP8,40
1,Belgium,10.9,2019,Tot,EMP8,56
2,Czech Republic,8.3,2019,Tot,EMP8,203
3,Denmark,10.9,2019,Tot,EMP8,208
4,France,16.4,2019,Tot,EMP8,250
5,Germany,12,2019,Tot,EMP8,276
6,Greece,12.5,2019,Tot,EMP8,300
7,Hungary,6.6,2019,Tot,EMP8,348
8,Iceland,7.8,2019,Tot,EMP8,352
9,Ireland,9.8,2019,Tot,EMP8,372
10,Italy,17,2019,Tot,EMP8,380
11,Luxembourg,9.2,2019,Tot,EMP8,442
12,Netherlands,20.3,2019,Tot,EMP8,528
13,Norway,8,2019,Tot,EMP8,578
14,Poland,21.8,2019,Tot,EMP8,616
15,Portugal,20.8,2019,Tot,EMP8,620
16,Slovak Republic,8.2,2019,Tot,EMP8,703
17,Spain,26.3,2019,Tot,EMP8,724
18,Sweden,16.6,2019,Tot,EMP8,752
19,Switzerland,12.7,2019,Tot,EMP8,756
20,United Kingdom,5.2,2019,Tot,EMP8,826
21,Estonia,3.1,2019,Tot,EMP8,233
22,Slovenia,13.4,2019,Tot,EMP8,705
23,Latvia,3.2,2019,Tot,EMP8,428
24,Lithuania,1.5,2019,Tot,EMP8,440
0,Austria,9.8,2010,M,EMP8,40
1,Belgium,6.8,2010,M,EMP8,56
2,Czech Republic,7.5,2010,M,EMP8,203
3,Denmark,8.1,2010,M,EMP8,208
4,France,14.1,2010,M,EMP8,250
5,Germany,14.3,2010,M,EMP8,276
6,Greece,11,2010,M,EMP8,300
7,Hungary,10.2,2010,M,EMP8,348
8,Iceland,12,2010,M,EMP8,352
9,Ireland,8.9,2010,M,EMP8,372
10,Italy,11.3,2010,M,EMP8,380
11,Luxembourg,6.2,2010,M,EMP8,442
12,Netherlands,17.3,2010,M,EMP8,528
13,Norway,7,2010,M,EMP8,578
14,Poland,27.5,2010,M,EMP8,616
15,Portugal,22.2,2010,M,EMP8,620
16,Slovak Republic,5.6,2010,M,EMP8,703
17,Spain,23.6,2010,M,EMP8,724
18,Sweden,14.5,2010,M,EMP8,752
19,Switzerland,13,2010,M,EMP8,756
20,United Kingdom,5.7,2010,M,EMP8,826
21,Estonia,4.8,2010,M,EMP8,233
22,Slovenia,15.4,2010,M,EMP8,705
23,Latvia,9.3,2010,M,EMP8,428
24,Lithuania,3.3,2010,M,EMP8,440
0,Austria,9.6,2011,M,EMP8,40
1,Belgium,7.7,2011,M,EMP8,56
2,Czech Republic,7.2,2011,M,EMP8,203
3,Denmark,8.3,2011,M,EMP8,208
4,France,14.7,2011,M,EMP8,250
5,Germany,14.4,2011,M,EMP8,276
6,Greece,10.7,2011,M,EMP8,300
7,Hungary,9.7,2011,M,EMP8,348
8,Iceland,12.2,2011,M,EMP8,352
9,Ireland,9.8,2011,M,EMP8,372
10,Italy,12.2,2011,M,EMP8,380
11,Luxembourg,6.3,2011,M,EMP8,442
12,Netherlands,17.1,2011,M,EMP8,528
13,Norway,6.7,2011,M,EMP8,578
14,Poland,27.5,2011,M,EMP8,616
15,Portugal,21.8,2011,M,EMP8,620
16,Slovak Republic,6.4,2011,M,EMP8,703
17,Spain,24,2011,M,EMP8,724
18,Sweden,15,2011,M,EMP8,752
19,Switzerland,12.6,2011,M,EMP8,756
20,United Kingdom,5.9,2011,M,EMP8,826
21,Estonia,5.6,2011,M,EMP8,233
22,Slovenia,16.6,2011,M,EMP8,705
23,Latvia,7.9,2011,M,EMP8,428
24,Lithuania,3.6,2011,M,EMP8,440
0,Austria,9.3,2012,M,EMP8,40
1,Belgium,7.1,2012,M,EMP8,56
2,Czech Republic,7.4,2012,M,EMP8,203
3,Denmark,7.8,2012,M,EMP8,208
4,France,14.4,2012,M,EMP8,250
5,Germany,13.7,2012,M,EMP8,276
6,Greece,8.9,2012,M,EMP8,300
7,Hungary,10.5,2012,M,EMP8,348
8,Iceland,13.1,2012,M,EMP8,352
9,Ireland,9.9,2012,M,EMP8,372
10,Italy,12.9,2012,M,EMP8,380
11,Luxembourg,7.3,2012,M,EMP8,442
12,Netherlands,18.5,2012,M,EMP8,528
13,Norway,7,2012,M,EMP8,578
14,Poland,27.4,2012,M,EMP8,616
15,Portugal,20.7,2012,M,EMP8,620
16,Slovak Republic,6.4,2012,M,EMP8,703
17,Spain,22,2012,M,EMP8,724
18,Sweden,14.3,2012,M,EMP8,752
19,Switzerland,12.9,2012,M,EMP8,756
20,United Kingdom,5.9,2012,M,EMP8,826
21,Estonia,4.7,2012,M,EMP8,233
22,Slovenia,15.7,2012,M,EMP8,705
23,Latvia,6.2,2012,M,EMP8,428
24,Lithuania,3.4,2012,M,EMP8,440
0,Austria,9.4,2013,M,EMP8,40
1,Belgium,7.3,2013,M,EMP8,56
2,Czech Republic,8,2013,M,EMP8,203
3,Denmark,8.1,2013,M,EMP8,208
4,France,15.3,2013,M,EMP8,250
5,Germany,13.2,2013,M,EMP8,276
6,Greece,9.2,2013,M,EMP8,300
7,Hungary,11.4,2013,M,EMP8,348
8,Iceland,14.4,2013,M,EMP8,352
9,Ireland,10.1,2013,M,EMP8,372
10,Italy,12.4,2013,M,EMP8,380
11,Luxembourg,5.7,2013,M,EMP8,442
12,Netherlands,19.6,2013,M,EMP8,528
13,Norway,6.7,2013,M,EMP8,578
14,Poland,27.4,2013,M,EMP8,616
15,Portugal,21.3,2013,M,EMP8,620
16,Slovak Republic,6.7,2013,M,EMP8,703
17,Spain,22.2,2013,M,EMP8,724
18,Sweden,14.7,2013,M,EMP8,752
19,Switzerland,12.7,2013,M,EMP8,756
20,United Kingdom,5.8,2013,M,EMP8,826
21,Estonia,4.1,2013,M,EMP8,233
22,Slovenia,15.8,2013,M,EMP8,705
23,Latvia,5.3,2013,M,EMP8,428
24,Lithuania,3.5,2013,M,EMP8,440
0,Austria,9.2,2014,M,EMP8,40
1,Belgium,7.7,2014,M,EMP8,56
2,Czech Republic,8.9,2014,M,EMP8,203
3,Denmark,8.1,2014,M,EMP8,208
4,France,15.1,2014,M,EMP8,250
5,Germany,13,2014,M,EMP8,276
6,Greece,11.1,2014,M,EMP8,300
7,Hungary,11.2,2014,M,EMP8,348
8,Iceland,13.7,2014,M,EMP8,352
9,Ireland,9.2,2014,M,EMP8,372
10,Italy,13.1,2014,M,EMP8,380
11,Luxembourg,7.3,2014,M,EMP8,442
12,Netherlands,20.8,2014,M,EMP8,528
13,Norway,6.3,2014,M,EMP8,578
14,Poland,28.6,2014,M,EMP8,616
15,Portugal,21.7,2014,M,EMP8,620
16,Slovak Republic,9.1,2014,M,EMP8,703
17,Spain,23.5,2014,M,EMP8,724
18,Sweden,15.5,2014,M,EMP8,752
19,Switzerland,13,2014,M,EMP8,756
20,United Kingdom,6,2014,M,EMP8,826
21,Estonia,3.4,2014,M,EMP8,233
22,Slovenia,16.2,2014,M,EMP8,705
23,Latvia,4.3,2014,M,EMP8,428
24,Lithuania,3.6,2014,M,EMP8,440
0,Austria,9.1,2015,M,EMP8,40
1,Belgium,8.4,2015,M,EMP8,56
2,Czech Republic,8.9,2015,M,EMP8,203
3,Denmark,7.9,2015,M,EMP8,208
4,France,15.9,2015,M,EMP8,250
5,Germany,13,2015,M,EMP8,276
6,Greece,11.4,2015,M,EMP8,300
7,Hungary,11.6,2015,M,EMP8,348
8,Iceland,11.8,2015,M,EMP8,352
9,Ireland,8.7,2015,M,EMP8,372
10,Italy,13.6,2015,M,EMP8,380
11,Luxembourg,10.2,2015,M,EMP8,442
12,Netherlands,19.3,2015,M,EMP8,528
13,Norway,6.6,2015,M,EMP8,578
14,Poland,28,2015,M,EMP8,616
15,Portugal,22.5,2015,M,EMP8,620
16,Slovak Republic,10,2015,M,EMP8,703
17,Spain,25.1,2015,M,EMP8,724
18,Sweden,15.5,2015,M,EMP8,752
19,Switzerland,13.7,2015,M,EMP8,756
20,United Kingdom,5.8,2015,M,EMP8,826
21,Estonia,3.9,2015,M,EMP8,233
22,Slovenia,17.2,2015,M,EMP8,705
23,Latvia,4.6,2015,M,EMP8,428
24,Lithuania,2.4,2015,M,EMP8,440
0,Austria,8.9,2016,M,EMP8,40
1,Belgium,8.4,2016,M,EMP8,56
2,Czech Republic,8.5,2016,M,EMP8,203
3,Denmark,11.5,2016,M,EMP8,208
4,France,15.9,2016,M,EMP8,250
5,Germany,13.2,2016,M,EMP8,276
6,Greece,10.3,2016,M,EMP8,300
7,Hungary,9.3,2016,M,EMP8,348
8,Iceland,11,2016,M,EMP8,352
9,Ireland,8.6,2016,M,EMP8,372
10,Italy,13.5,2016,M,EMP8,380
11,Luxembourg,8.9,2016,M,EMP8,442
12,Netherlands,19.7,2016,M,EMP8,528
13,Norway,7.3,2016,M,EMP8,578
14,Poland,27.3,2016,M,EMP8,616
15,Portugal,22.5,2016,M,EMP8,620
16,Slovak Republic,9.8,2016,M,EMP8,703
17,Spain,25.7,2016,M,EMP8,724
18,Sweden,15.1,2016,M,EMP8,752
19,Switzerland,13.3,2016,M,EMP8,756
20,United Kingdom,5.5,2016,M,EMP8,826
21,Estonia,3.9,2016,M,EMP8,233
22,Slovenia,16.1,2016,M,EMP8,705
23,Latvia,4.7,2016,M,EMP8,428
24,Lithuania,2.2,2016,M,EMP8,440
0,Austria,9.2,2017,M,EMP8,40
1,Belgium,9.7,2017,M,EMP8,56
2,Czech Republic,8.1,2017,M,EMP8,203
3,Denmark,11.2,2017,M,EMP8,208
4,France,16.4,2017,M,EMP8,250
5,Germany,12.9,2017,M,EMP8,276
6,Greece,9.8,2017,M,EMP8,300
7,Hungary,8.2,2017,M,EMP8,348
8,Iceland,9.5,2017,M,EMP8,352
9,Ireland,8.9,2017,M,EMP8,372
10,Italy,15,2017,M,EMP8,380
11,Luxembourg,8.8,2017,M,EMP8,442
12,Netherlands,20.7,2017,M,EMP8,528
13,Norway,7.3,2017,M,EMP8,578
14,Poland,25.7,2017,M,EMP8,616
15,Portugal,22.3,2017,M,EMP8,620
16,Slovak Republic,9.3,2017,M,EMP8,703
17,Spain,25.9,2017,M,EMP8,724
18,Sweden,15.3,2017,M,EMP8,752
19,Switzerland,13.4,2017,M,EMP8,756
20,United Kingdom,5.3,2017,M,EMP8,826
21,Estonia,3.3,2017,M,EMP8,233
22,Slovenia,16.7,2017,M,EMP8,705
23,Latvia,3.7,2017,M,EMP8,428
24,Lithuania,2,2017,M,EMP8,440
0,Austria,8.8,2018,M,EMP8,40
1,Belgium,9.9,2018,M,EMP8,56
2,Czech Republic,7,2018,M,EMP8,203
3,Denmark,9.4,2018,M,EMP8,208
4,France,16.2,2018,M,EMP8,250
5,Germany,12.8,2018,M,EMP8,276
6,Greece,9.5,2018,M,EMP8,300
7,Hungary,6.7,2018,M,EMP8,348
8,Iceland,7.7,2018,M,EMP8,352
9,Ireland,9.6,2018,M,EMP8,372
10,Italy,16.5,2018,M,EMP8,380
11,Luxembourg,9.1,2018,M,EMP8,442
12,Netherlands,20.1,2018,M,EMP8,528
13,Norway,7.4,2018,M,EMP8,578
14,Poland,23.6,2018,M,EMP8,616
15,Portugal,22,2018,M,EMP8,620
16,Slovak Republic,7.6,2018,M,EMP8,703
17,Spain,26,2018,M,EMP8,724
18,Sweden,15.2,2018,M,EMP8,752
19,Switzerland,13.2,2018,M,EMP8,756
20,United Kingdom,5.2,2018,M,EMP8,826
21,Estonia,3.6,2018,M,EMP8,233
22,Slovenia,14.6,2018,M,EMP8,705
23,Latvia,3,2018,M,EMP8,428
24,Lithuania,1.7,2018,M,EMP8,440
0,Austria,8.6,2019,M,EMP8,40
1,Belgium,10.3,2019,M,EMP8,56
2,Czech Republic,6.6,2019,M,EMP8,203
3,Denmark,9.8,2019,M,EMP8,208
4,France,16.1,2019,M,EMP8,250
5,Germany,12.2,2019,M,EMP8,276
6,Greece,10.9,2019,M,EMP8,300
7,Hungary,6.2,2019,M,EMP8,348
8,Iceland,6.4,2019,M,EMP8,352
9,Ireland,9.1,2019,M,EMP8,372
10,Italy,16.7,2019,M,EMP8,380
11,Luxembourg,9.3,2019,M,EMP8,442
12,Netherlands,19.3,2019,M,EMP8,528
13,Norway,6.6,2019,M,EMP8,578
14,Poland,20.7,2019,M,EMP8,616
15,Portugal,20.6,2019,M,EMP8,620
16,Slovak Republic,7.5,2019,M,EMP8,703
17,Spain,25.4,2019,M,EMP8,724
18,Sweden,14.9,2019,M,EMP8,752
19,Switzerland,12.8,2019,M,EMP8,756
20,United Kingdom,4.8,2019,M,EMP8,826
21,Estonia,3.1,2019,M,EMP8,233
22,Slovenia,11.9,2019,M,EMP8,705
23,Latvia,3.9,2019,M,EMP8,428
24,Lithuania,1.5,2019,M,EMP8,440
0,Austria,8.9,2010,W,EMP8,40
1,Belgium,9.6,2010,W,EMP8,56
2,Czech Republic,10.6,2010,W,EMP8,203
3,Denmark,8.7,2010,W,EMP8,208
4,France,16.1,2010,W,EMP8,250
5,Germany,14.8,2010,W,EMP8,276
6,Greece,14.6,2010,W,EMP8,300
7,Hungary,9.3,2010,W,EMP8,348
8,Iceland,12.7,2010,W,EMP8,352
9,Ireland,10.3,2010,W,EMP8,372
10,Italy,14.4,2010,W,EMP8,380
11,Luxembourg,8.3,2010,W,EMP8,442
12,Netherlands,19.9,2010,W,EMP8,528
13,Norway,10,2010,W,EMP8,578
14,Poland,27.1,2010,W,EMP8,616
15,Portugal,23.5,2010,W,EMP8,620
16,Slovak Republic,5.9,2010,W,EMP8,703
17,Spain,26.1,2010,W,EMP8,724
18,Sweden,18.3,2010,W,EMP8,752
19,Switzerland,13.2,2010,W,EMP8,756
20,United Kingdom,6.5,2010,W,EMP8,826
21,Estonia,2.7,2010,W,EMP8,233
22,Slovenia,19.4,2010,W,EMP8,705
23,Latvia,5.2,2010,W,EMP8,428
24,Lithuania,1.7,2010,W,EMP8,440
0,Austria,9.4,2011,W,EMP8,40
1,Belgium,10.3,2011,W,EMP8,56
2,Czech Republic,10.1,2011,W,EMP8,203
3,Denmark,9.4,2011,W,EMP8,208
4,France,16,2011,W,EMP8,250
5,Germany,14.7,2011,W,EMP8,276
6,Greece,13.2,2011,W,EMP8,300
7,Hungary,8.4,2011,W,EMP8,348
8,Iceland,12.2,2011,W,EMP8,352
9,Ireland,10.6,2011,W,EMP8,372
10,Italy,14.6,2011,W,EMP8,380
11,Luxembourg,8.2,2011,W,EMP8,442
12,Netherlands,19.5,2011,W,EMP8,528
13,Norway,9.6,2011,W,EMP8,578
14,Poland,26.3,2011,W,EMP8,616
15,Portugal,22.2,2011,W,EMP8,620
16,Slovak Republic,7,2011,W,EMP8,703
17,Spain,26.5,2011,W,EMP8,724
18,Sweden,19,2011,W,EMP8,752
19,Switzerland,13.3,2011,W,EMP8,756
20,United Kingdom,6.5,2011,W,EMP8,826
21,Estonia,3.6,2011,W,EMP8,233
22,Slovenia,20,2011,W,EMP8,705
23,Latvia,5.5,2011,W,EMP8,428
24,Lithuania,1.9,2011,W,EMP8,440
0,Austria,9.3,2012,W,EMP8,40
1,Belgium,9.3,2012,W,EMP8,56
2,Czech Republic,10.5,2012,W,EMP8,203
3,Denmark,9.3,2012,W,EMP8,208
4,France,16.1,2012,W,EMP8,250
5,Germany,13.7,2012,W,EMP8,276
6,Greece,11.8,2012,W,EMP8,300
7,Hungary,8.6,2012,W,EMP8,348
8,Iceland,12.9,2012,W,EMP8,352
9,Ireland,10.4,2012,W,EMP8,372
10,Italy,14.8,2012,W,EMP8,380
11,Luxembourg,8.2,2012,W,EMP8,442
12,Netherlands,20.4,2012,W,EMP8,528
13,Norway,10.4,2012,W,EMP8,578
14,Poland,26.4,2012,W,EMP8,616
15,Portugal,20.4,2012,W,EMP8,620
16,Slovak Republic,7.3,2012,W,EMP8,703
17,Spain,24.9,2012,W,EMP8,724
18,Sweden,18.5,2012,W,EMP8,752
19,Switzerland,12.9,2012,W,EMP8,756
20,United Kingdom,6.8,2012,W,EMP8,826
21,Estonia,2.8,2012,W,EMP8,233
22,Slovenia,18.7,2012,W,EMP8,705
23,Latvia,3.3,2012,W,EMP8,428
24,Lithuania,1.9,2012,W,EMP8,440
0,Austria,9,2013,W,EMP8,40
1,Belgium,9.2,2013,W,EMP8,56
2,Czech Republic,11.5,2013,W,EMP8,203
3,Denmark,9.5,2013,W,EMP8,208
4,France,16.7,2013,W,EMP8,250
5,Germany,13.4,2013,W,EMP8,276
6,Greece,11.3,2013,W,EMP8,300
7,Hungary,10.4,2013,W,EMP8,348
8,Iceland,14.1,2013,W,EMP8,352
9,Ireland,9.8,2013,W,EMP8,372
10,Italy,14.2,2013,W,EMP8,380
11,Luxembourg,8.9,2013,W,EMP8,442
